2026-03-23 01:13:33,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222115-15
2026-03-23 01:17:35,UP,1.45,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222130-30
2026-03-23 01:20:36,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222130-30
2026-03-23 01:22:37,UP,1.35,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222130-30
2026-03-23 01:24:38,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222130-30
2026-03-23 01:26:38,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222130-30
2026-03-23 01:28:39,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222130-30
2026-03-23 01:41:44,DOWN,0.85,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222145-45
2026-03-23 01:43:45,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222145-45
2026-03-23 01:51:48,DOWN,1.30,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222200-00
2026-03-23 01:55:49,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222200-00
2026-03-23 01:57:50,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222200-00
2026-03-23 01:59:51,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222200-00
2026-03-23 02:08:54,UP,1.70,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222215-15
2026-03-23 02:10:55,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222215-15
2026-03-23 02:12:56,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222215-15
2026-03-23 02:20:59,UP,1.65,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222230-30
2026-03-23 02:22:59,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222230-30
2026-03-23 02:25:00,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222230-30
2026-03-23 02:27:01,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222230-30
2026-03-23 02:29:02,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222230-30
2026-03-23 02:43:08,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222245-45
2026-03-23 02:45:08,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222245-45
2026-03-23 02:49:10,DOWN,0.85,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222300-00
2026-03-23 02:55:12,DOWN,1.35,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222300-00
2026-03-23 03:00:14,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222300-00
2026-03-23 03:02:14,UP,1.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222315-15
2026-03-23 03:04:15,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222315-15
2026-03-23 03:06:16,UP,1.70,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222315-15
2026-03-23 03:08:17,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222315-15
2026-03-23 03:10:17,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222315-15
2026-03-23 03:12:18,UP,0.95,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222315-15
2026-03-23 03:14:19,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222315-15
2026-03-23 03:24:22,DOWN,1.20,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222330-30
2026-03-23 03:26:23,DOWN,1.70,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222330-30
2026-03-23 03:29:24,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222330-30
2026-03-23 03:42:29,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222345-45
2026-03-23 03:44:30,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222345-45
2026-03-23 03:54:33,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230000-00
2026-03-23 03:56:34,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230000-00
2026-03-23 03:58:35,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230000-00
2026-03-23 04:05:38,UP,1.65,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230015-15
2026-03-23 04:07:38,UP,1.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230015-15
2026-03-23 04:09:39,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR230015-15
